agent,cohort,tool,cmd,effect,status,count
codex,top,shell,sed,read,ok,469
codex,top,shell,git,read,ok,449
claude,top,shell,gh,process,ok,336
codex,top,shell,rg,read,ok,159
claude,subagent,read,read,read,ok,148
claude,top,edit,edit,write,ok,110
codex,subagent,shell,nl,read,ok,109
codex,top,shell,cargo,test,ok,106
claude,top,read,read,read,ok,105
codex,top,shell,python3,process,ok,90
claude,top,shell,tail,read,ok,78
codex,top,shell,gh,process,ok,78
claude,subagent,edit,edit,write,ok,67
claude,top,shell,cd,process,ok,65
claude,top,shell,grep,read,ok,59
codex,top,shell,agentsight,process,ok,59
codex,top,tool,write,process,observed,52
codex,top,tool,write,process,ok,50
claude,subagent,shell,grep,read,ok,49
claude,top,shell,git,read,ok,47
codex,top,shell,find,read,ok,47
codex,top,shell,curl,network,ok,45
codex,top,shell,git,repo,ok,42
codex,subagent,shell,git,read,ok,38
codex,top,shell,cargo,process,ok,37
claude,top,shell,agentsight,process,ok,36
codex,top,shell,nl,read,ok,36
claude,top,shell,cargo,test,ok,35
claude,top,edit,write,write,ok,34
codex,top,shell,ps,process,ok,31
codex,top,shell,tmux,process,ok,29
codex,top,shell,jq,read,ok,28
codex,top,plan,update,process,observed,28
claude,top,shell,git,repo,ok,27
codex,subagent,shell,sed,read,ok,27
codex,top,shell,rustfmt,process,ok,27
codex,subagent,shell,rg,read,ok,26
claude,top,shell,#,process,ok,25
claude,top,shell,sed,read,ok,25
claude,subagent,shell,find,read,ok,24
codex,top,shell,ls,read,ok,24
codex,top,shell,rm,write,ok,24
claude,top,shell,curl,network,ok,21
claude,top,shell,ls,read,ok,20
codex,top,shell,cat,read,ok,20
codex,top,shell,sqlite3,process,fail,17
claude,top,subagent,taskupdate,process,ok,16
codex,top,shell,rg,read,fail,16
codex,top,shell,cargo,test,fail,15
codex,top,shell,python3,write,ok,15
claude,subagent,shell,cargo,test,ok,14
claude,subagent,shell,cd,process,ok,14
claude,top,subagent,agent,process,ok,14
codex,subagent,shell,jq,read,ok,14
codex,top,shell,-n,process,ok,14
codex,top,shell,wc,read,ok,14
codex,top,shell,-v,process,ok,13
codex,top,shell,6s,process,fail,13
codex,top,shell,gh,process,fail,13
claude,top,shell,cat,read,ok,12
codex,top,shell,tmp=$(mktemp,process,ok,12
codex,top,subagent,wait,process,observed,12
codex,top,shell,which,process,ok,12
codex,top,shell,head,read,ok,11
codex,top,shell,sha256sum,process,ok,11
codex,top,shell,git,network,ok,10
codex,top,shell,ss,process,ok,10
claude,top,shell,python3,write,ok,9
claude,top,shell,python3,process,ok,9
claude,top,tool,toolsearch,process,ok,9
codex,subagent,shell,head,read,ok,9
codex,top,shell,kill,process,ok,9
codex,top,shell,python3,process,fail,9
codex,top,shell,python3,network,ok,9
codex,top,shell,sleep,process,observed,9
codex,top,tool,write,process,fail,9
claude,top,shell,5,process,ok,8
claude,top,shell,cargo,write,ok,8
claude,top,subagent,taskcreate,process,ok,8
codex,subagent,shell,awk,process,ok,8
codex,subagent,shell,find,read,ok,8
codex,top,shell,20s,process,ok,8
codex,top,shell,90s,process,ok,8
codex,top,shell,agentsight,process,observed,8
codex,top,shell,make,process,ok,8
codex,top,shell,python3,write,fail,8
codex,top,shell,python3,process,observed,8
codex,top,subagent,spawn,process,observed,8
claude,subagent,shell,ls,read,ok,7
claude,top,shell,git,repo,fail,7
claude,top,shell,printf,process,ok,7
codex,subagent,shell,ls,read,ok,7
codex,top,shell,gh,process,observed,7
codex,top,shell,python3,write,observed,7
claude,top,shell,node,write,ok,6
claude,top,shell,yunwei37,process,ok,6
codex,top,shell,du,process,ok,6
codex,top,shell,hf,process,ok,6
codex,top,shell,mktemp,process,ok,6
codex,top,shell,node,write,ok,6
codex,top,shell,npm,test,ok,6
codex,top,shell,objdump,process,ok,6
claude,subagent,shell,wc,read,ok,5
claude,top,shell,agentsight,process,fail,5
codex,subagent,shell,wc,read,ok,5
codex,top,shell,OLD=$(ss,process,ok,5
codex,top,shell,cd,network,ok,5
codex,top,shell,claude,process,ok,5
codex,top,shell,pgrep,process,ok,5
codex,top,shell,python,process,ok,5
codex,top,shell,readelf,process,ok,5
codex,top,shell,rm,write,observed,5
codex,top,shell,set,process,ok,5
codex,top,shell,sleep,process,ok,5
codex,top,shell,sleep,network,ok,5
codex,top,shell,tail,read,ok,5
codex,top,tool,view,process,observed,5
claude,top,shell,find,read,ok,4
claude,top,shell,rm,write,ok,4
claude,top,plan,todowrite,process,ok,4
codex,subagent,shell,git,repo,ok,4
codex,subagent,shell,python3,process,ok,4
codex,subagent,plan,update,process,observed,4
codex,top,shell,-n,process,fail,4
codex,top,shell,6s,process,observed,4
codex,top,shell,cd,process,ok,4
codex,top,shell,install,process,ok,4
codex,top,shell,llama-cli,process,ok,4
codex,top,shell,mkdir,write,ok,4
codex,top,shell,node,process,ok,4
codex,top,shell,pgrep,process,fail,4
codex,top,shell,rustfmt,process,fail,4
codex,top,shell,sed,read,fail,4
codex,top,tool,send,process,observed,4
codex,top,shell,setsid,process,ok,4
codex,top,shell,stat,process,ok,4
codex,top,shell,strings,process,ok,4
codex,top,shell,tmux,network,ok,4
claude,top,network,agentsight.us,network,ok,3
claude,top,shell,cd,network,ok,3
claude,top,shell,git,network,ok,3
claude,top,shell,kill,process,ok,3
claude,top,shell,ls,read,fail,3
claude,top,shell,npm,test,ok,3
claude,top,shell,sleep,process,fail,3
claude,top,shell,sleep,process,ok,3
claude,top,shell,wc,read,ok,3
codex,top,shell,chromium,network,ok,3
codex,top,subagent,close,process,observed,3
codex,top,shell,file,process,ok,3
codex,top,shell,find,read,observed,3
codex,top,shell,hf,process,fail,3
codex,top,shell,id,process,ok,3
codex,top,shell,lsof,process,ok,3
codex,top,shell,lsof,process,fail,3
codex,top,shell,make,test,ok,3
codex,top,shell,opencode,process,ok,3
codex,top,shell,pkill,process,fail,3
codex,top,shell,pwd,process,ok,3
codex,top,shell,readlink,process,ok,3
codex,top,shell,systemctl,process,ok,3
codex,top,shell,test,process,ok,3
codex,top,tool,update,process,observed,3
codex,top,shell,xxd,process,ok,3
claude,subagent,shell,cat,read,ok,2
claude,subagent,shell,echo,process,ok,2
claude,subagent,edit,edit,write,fail,2
claude,subagent,shell,git,read,ok,2
claude,subagent,shell,head,read,ok,2
claude,top,shell,docker,process,ok,2
claude,top,shell,echo,process,ok,2
claude,top,edit,edit,write,fail,2
claude,top,shell,for,process,ok,2
claude,top,shell,gh,process,fail,2
claude,top,shell,grep,read,fail,2
claude,top,shell,make,test,ok,2
claude,top,tool,monitor,process,ok,2
claude,top,network,webfetch,process,ok,2
claude,top,shell,which,process,ok,2
codex,subagent,shell,lsof,process,fail,2
codex,subagent,shell,rg,read,fail,2
codex,subagent,shell,tail,read,ok,2
codex,subagent,tool,write,process,ok,2
codex,top,shell,--signal,process,fail,2
codex,top,shell,-n,process,observed,2
codex,top,shell,30s,process,fail,2
codex,top,shell,5s,process,fail,2
codex,top,shell,60s,network,observed,2
codex,top,shell,OLD=$(ss,network,ok,2
codex,top,shell,awk,process,ok,2
codex,top,shell,body=$(cat,process,ok,2
codex,top,shell,cargo,process,fail,2
codex,top,shell,cargo,test,observed,2
codex,top,shell,cd,network,fail,2
codex,top,shell,codex,process,ok,2
codex,top,tool,create,process,fail,2
codex,top,shell,curl,network,observed,2
codex,top,shell,google-chrome,network,fail,2
codex,top,shell,llama-cli,process,observed,2
codex,top,shell,llama-completion,process,ok,2
codex,top,shell,node,process,fail,2
codex,top,shell,pkg-config,process,ok,2
codex,top,shell,python3,network,fail,2
codex,top,shell,rg,read,observed,2
codex,top,shell,rm,write,fail,2
codex,top,shell,set,process,fail,2
codex,top,shell,sleep,network,observed,2
codex,top,shell,sleep,process,fail,2
codex,top,shell,tmp=$(mktemp,process,fail,2
codex,top,shell,tmp=$(mktemp,process,observed,2
codex,top,shell,tmpdir=$(mktemp,process,ok,2
claude,subagent,shell,cargo,write,ok,1
claude,subagent,shell,for,process,ok,1
claude,subagent,shell,grep,read,fail,1
claude,subagent,shell,python3,process,ok,1
claude,subagent,read,read,read,fail,1
claude,subagent,shell,touch,write,ok,1
claude,top,shell,#,network,fail,1
claude,top,shell,10,process,ok,1
claude,top,shell,8,process,ok,1
claude,top,shell,CLAUDE_BIN=$(readlink,process,ok,1
claude,top,shell,CLAUDE_PID=67363;,process,ok,1
claude,top,shell,added=$(git,process,ok,1
claude,top,network,agentsight..,network,ok,1
claude,top,tool,askuserquestion,process,fail,1
claude,top,tool,askuserquestion,process,ok,1
claude,top,shell,chmod,process,ok,1
claude,top,shell,claude,process,ok,1
claude,top,shell,cp,write,ok,1
claude,top,plan,enterplanmode,process,ok,1
claude,top,plan,exitplanmode,process,ok,1
claude,top,shell,for,network,ok,1
claude,top,shell,gh,network,ok,1
claude,top,shell,git,read,fail,1
claude,top,shell,npx,process,ok,1
claude,top,shell,pkill,network,fail,1
claude,top,shell,prod(),process,ok,1
claude,top,shell,ps,process,ok,1
claude,top,shell,pwd,process,ok,1
claude,top,read,read,read,observed,1
claude,top,shell,sed,read,fail,1
claude,top,shell,sleep,network,fail,1
claude,top,shell,split_count(),process,ok,1
claude,top,shell,touch,write,ok,1
claude,top,shell,until,network,ok,1
claude,top,network,webfetch,process,fail,1
codex,subagent,shell,PYTHONDONTWRITEBYTECODE=1,process,ok,1
codex,subagent,shell,agentsight,process,fail,1
codex,subagent,shell,agentsight,process,observed,1
codex,subagent,shell,cargo,process,fail,1
codex,subagent,shell,cargo,test,observed,1
codex,subagent,shell,cargo,test,ok,1
codex,subagent,shell,cargo,test,fail,1
codex,subagent,shell,rm,write,ok,1
codex,subagent,shell,sha256sum,process,ok,1
codex,top,shell,--signal,process,observed,1
codex,top,shell,--signal=INT,process,observed,1
codex,top,shell,180s,process,observed,1
codex,top,shell,18s,process,ok,1
codex,top,shell,18s,network,ok,1
codex,top,shell,30s,process,ok,1
codex,top,shell,8,process,fail,1
codex,top,shell,OLD=$(ss,network,fail,1
codex,top,shell,RUST_BACKTRACE=1,process,fail,1
codex,top,shell,agentsight-raw-ssl-http.log,process,ok,1
codex,top,shell,body_file=$(mktemp);,process,ok,1
codex,top,shell,bun,process,ok,1
codex,top,shell,cargo,process,observed,1
codex,top,shell,chromium,network,fail,1
codex,top,shell,chromium,network,observed,1
codex,top,subagent,close,process,fail,1
codex,top,shell,curl,network,fail,1
codex,top,shell,docker,process,ok,1
codex,top,shell,geckodriver,process,ok,1
codex,top,tool,get,process,observed,1
codex,top,shell,git,read,fail,1
codex,top,shell,google-chrome,network,observed,1
codex,top,shell,hf,process,observed,1
codex,top,shell,ldconfig,process,ok,1
codex,top,shell,ldd,process,ok,1
codex,top,shell,make,process,fail,1
codex,top,shell,man,process,ok,1
codex,top,shell,nm,process,ok,1
codex,top,shell,nm,process,fail,1
codex,top,shell,node,write,fail,1
codex,top,shell,objdump,process,fail,1
codex,top,shell,od,process,ok,1
codex,top,shell,old_pids=$(pgrep,process,ok,1
codex,top,shell,ps,process,fail,1
codex,top,shell,python,process,observed,1
codex,top,shell,python,write,ok,1
codex,top,shell,readelf,process,fail,1
codex,top,shell,set,process,observed,1
codex,top,shell,sysctl,process,ok,1
codex,top,shell,systemd-run,process,observed,1
codex,top,shell,tmux,process,fail,1
codex,top,subagent,wait,process,fail,1
codex,top,shell,which,process,fail,1
codex,top,shell,whoami,process,ok,1
